agent_id,agent_name,agent_type,operator_code,country_code,region,city,latitude,longitude,onboarding_date,agent_status,commission_tier
AGT-00100000,Express Niary Tally,MERCHANT,MOOV,GIN,Nzérékoré,Nzérékoré,9.159748,-9.558137,2025-07-29,ACTIVE,T1
AGT-00100001,Agence Castors,SUB_AGENT,OM,CIV,Yamoussoukro,Yamoussoukro,10.088651,-5.247059,2019-07-20,ACTIVE,T3
AGT-00100002,Point Cash Touba,SUB_AGENT,OM,SEN,Thiès,Thiès,14.926592,-11.562798,2021-01-28,ACTIVE,T1
AGT-00100003,Mini-marché Patte d'Oie,SUB_AGENT,WAVE,SEN,Sédhiou,Sédhiou,12.850915,-14.188145,2019-10-08,ACTIVE,T1
AGT-00100004,Boutique Tabaski,SUB_AGENT,WAVE,SEN,Kaolack,Kaolack,14.406911,-15.890722,2019-03-08,ACTIVE,T1
AGT-00100005,Marché HLM,SUB_AGENT,MOOV,SEN,Kédougou,Kédougou,15.619941,-15.563263,2025-09-17,ACTIVE,T1
AGT-00100006,Cash & Go Cambérène,SUB_AGENT,WAVE,SEN,Kolda,Kolda,15.578848,-12.182463,2021-10-20,SUSPENDED,T1
AGT-00100007,Marché Yoff,SUB_AGENT,MTN_MOMO,CIV,Man,Man,8.413172,-5.207227,2019-04-30,ACTIVE,T1
AGT-00100008,Cash & Go Wakhinane,ATM_PARTNER,FREE,GIN,Conakry,Conakry,10.077752,-11.978381,2023-11-27,ACTIVE,T1
AGT-00100009,Multiservices Fass,ATM_PARTNER,WAVE,CIV,Daloa,Daloa,4.51562,-7.197264,2019-04-23,ACTIVE,T1
AGT-00100010,Mini-marché Dieuppeul,MERCHANT,MOOV,SEN,Fatick,Fatick,16.546707,-16.859979,2021-06-22,ACTIVE,T1
AGT-00100011,Kiosque Dieuppeul,SUB_AGENT,MOOV,SEN,Kolda,Kolda,13.588817,-14.198892,2021-06-25,ACTIVE,T2
AGT-00100012,Agence Ngor,SUB_AGENT,MOOV,SEN,Kolda,Kolda,15.698429,-12.763501,2019-10-24,ACTIVE,T1
AGT-00100013,Boutique Mermoz,MERCHANT,MOOV,SEN,Saint-Louis,Saint-Louis,14.565966,-12.117822,2025-10-25,ACTIVE,T1
AGT-00100014,SuperMoney Reubeuss,SUB_AGENT,MOOV,SEN,Saint-Louis,Saint-Louis,12.767584,-15.509623,2025-01-07,ACTIVE,T2
AGT-00100015,Multiservices Ngor,SUB_AGENT,MTN_MOMO,GIN,Mamou,Mamou,8.558648,-12.345787,2019-04-11,ACTIVE,T1
AGT-00100016,Express Pikine,MERCHANT,FREE,MLI,Tombouctou,Tombouctou,13.319461,-6.904966,2022-02-13,ACTIVE,T2
AGT-00100017,Point Cash Guédiawaye,SUB_AGENT,FREE,GIN,Kankan,Kankan,9.746538,-8.595899,2021-11-29,ACTIVE,T2
AGT-00100018,SuperMoney Fass,MERCHANT,WAVE,SEN,Louga,Louga,12.86137,-15.867463,2022-04-02,ACTIVE,T2
AGT-00100019,Kiosque HLM,SUB_AGENT,MOOV,SEN,Kolda,Kolda,12.931245,-12.788225,2019-05-26,ACTIVE,T1
AGT-00100020,Marché Patte d'Oie,MASTER_AGENT,MTN_MOMO,SEN,Kolda,Kolda,15.675478,-14.482425,2019-09-17,ACTIVE,T1
AGT-00100021,Point Cash Fass,MASTER_AGENT,OM,GIN,Kankan,Kankan,10.274068,-13.133912,2021-03-10,ACTIVE,T2
AGT-00100022,Boutique Tabaski,MERCHANT,FREE,CIV,Yamoussoukro,Yamoussoukro,8.408502,-4.535941,2022-03-06,ACTIVE,T1
AGT-00100023,Cash Point Plateau,MERCHANT,MTN_MOMO,GIN,Faranah,Faranah,10.164287,-14.915691,2022-02-20,TERMINATED,T3
AGT-00100024,Multiservices Pikine,SUB_AGENT,WAVE,SEN,Kaffrine,Kaffrine,15.432047,-13.345044,2024-08-17,ACTIVE,T3
AGT-00100025,Kiosque Cambérène,ATM_PARTNER,MOOV,SEN,Kaffrine,Kaffrine,16.306028,-13.486901,2021-12-10,ACTIVE,T1
AGT-00100026,Mini-marché Touba,SUB_AGENT,MTN_MOMO,GIN,Nzérékoré,Nzérékoré,7.319758,-9.013762,2020-08-11,ACTIVE,T1
AGT-00100027,SuperMoney Yoff,MASTER_AGENT,FREE,CIV,Yamoussoukro,Yamoussoukro,6.98841,-8.112674,2020-02-18,ACTIVE,T2
AGT-00100028,Cash & Go Plateau,SUB_AGENT,FREE,SEN,Matam,Matam,14.598749,-15.516905,2022-01-11,ACTIVE,T1
