rate_date,from_currency,to_currency,exchange_rate,rate_source
2026-01-01,XOF,USD,0.001612,BCEAO
2026-01-01,GNF,USD,0.000116,BCRG
2026-01-01,XOF,GNF,14.236323,INTERNAL_QUOTE
2026-01-02,XOF,USD,0.001686,BCEAO
2026-01-02,GNF,USD,0.000112,BCRG
2026-01-02,XOF,GNF,13.947785,INTERNAL_QUOTE
2026-01-03,XOF,USD,0.001660,BCEAO
2026-01-03,GNF,USD,0.000117,BCRG
2026-01-03,XOF,GNF,14.507873,INTERNAL_QUOTE
2026-01-04,XOF,USD,0.001655,BCEAO
2026-01-04,GNF,USD,0.000118,BCRG
2026-01-04,XOF,GNF,14.492615,INTERNAL_QUOTE
2026-01-05,XOF,USD,0.001675,BCEAO
2026-01-05,GNF,USD,0.000117,BCRG
2026-01-05,XOF,GNF,13.964434,INTERNAL_QUOTE
2026-01-06,XOF,USD,0.001661,BCEAO
2026-01-06,GNF,USD,0.000112,BCRG
2026-01-06,XOF,GNF,14.541261,INTERNAL_QUOTE
2026-01-07,XOF,USD,0.001645,BCEAO
2026-01-07,GNF,USD,0.000119,BCRG
2026-01-07,XOF,GNF,14.409678,INTERNAL_QUOTE
2026-01-08,XOF,USD,0.001668,BCEAO
2026-01-08,GNF,USD,0.000113,BCRG
2026-01-08,XOF,GNF,13.976013,INTERNAL_QUOTE
2026-01-09,XOF,USD,0.001698,BCEAO
2026-01-09,GNF,USD,0.000120,BCRG
2026-01-09,XOF,GNF,14.529636,INTERNAL_QUOTE
2026-01-10,XOF,USD,0.001700,BCEAO
2026-01-10,GNF,USD,0.000116,BCRG
2026-01-10,XOF,GNF,13.800820,INTERNAL_QUOTE
2026-01-11,XOF,USD,0.001634,BCEAO
2026-01-11,GNF,USD,0.000117,BCRG
2026-01-11,XOF,GNF,14.016622,INTERNAL_QUOTE
2026-01-12,XOF,USD,0.001646,BCEAO
2026-01-12,GNF,USD,0.000120,BCRG
2026-01-12,XOF,GNF,14.428476,INTERNAL_QUOTE
2026-01-13,XOF,USD,0.001658,BCEAO
2026-01-13,GNF,USD,0.000111,BCRG
2026-01-13,XOF,GNF,14.435362,INTERNAL_QUOTE
2026-01-14,XOF,USD,0.001636,BCEAO
2026-01-14,GNF,USD,0.000115,BCRG
2026-01-14,XOF,GNF,14.123273,INTERNAL_QUOTE
2026-01-15,XOF,USD,0.001659,BCEAO
2026-01-15,GNF,USD,0.000116,BCRG
2026-01-15,XOF,GNF,13.840948,INTERNAL_QUOTE
2026-01-16,XOF,USD,0.001651,BCEAO
2026-01-16,GNF,USD,0.000119,BCRG
2026-01-16,XOF,GNF,14.324665,INTERNAL_QUOTE
2026-01-17,XOF,USD,0.001649,BCEAO
2026-01-17,GNF,USD,0.000120,BCRG
2026-01-17,XOF,GNF,13.983143,INTERNAL_QUOTE
2026-01-18,XOF,USD,0.001642,BCEAO
2026-01-18,GNF,USD,0.000120,BCRG
2026-01-18,XOF,GNF,14.203690,INTERNAL_QUOTE
2026-01-19,XOF,USD,0.001652,BCEAO
2026-01-19,GNF,USD,0.000111,BCRG
2026-01-19,XOF,GNF,13.949025,INTERNAL_QUOTE
2026-01-20,XOF,USD,0.001613,BCEAO
2026-01-20,GNF,USD,0.000111,BCRG
2026-01-20,XOF,GNF,14.429163,INTERNAL_QUOTE
2026-01-21,XOF,USD,0.001689,BCEAO
2026-01-21,GNF,USD,0.000112,BCRG
2026-01-21,XOF,GNF,14.346810,INTERNAL_QUOTE
2026-01-22,XOF,USD,0.001647,BCEAO
2026-01-22,GNF,USD,0.000116,BCRG
2026-01-22,XOF,GNF,13.953427,INTERNAL_QUOTE
2026-01-23,XOF,USD,0.001689,BCEAO
2026-01-23,GNF,USD,0.000117,BCRG
2026-01-23,XOF,GNF,14.181296,INTERNAL_QUOTE
2026-01-24,XOF,USD,0.001647,BCEAO
2026-01-24,GNF,USD,0.000120,BCRG
2026-01-24,XOF,GNF,14.711726,INTERNAL_QUOTE
2026-01-25,XOF,USD,0.001655,BCEAO
2026-01-25,GNF,USD,0.000117,BCRG
2026-01-25,XOF,GNF,14.394254,INTERNAL_QUOTE
2026-01-26,XOF,USD,0.001631,BCEAO
2026-01-26,GNF,USD,0.000119,BCRG
2026-01-26,XOF,GNF,14.226400,INTERNAL_QUOTE
2026-01-27,XOF,USD,0.001648,BCEAO
2026-01-27,GNF,USD,0.000120,BCRG
2026-01-27,XOF,GNF,14.157567,INTERNAL_QUOTE
2026-01-28,XOF,USD,0.001629,BCEAO
2026-01-28,GNF,USD,0.000114,BCRG
2026-01-28,XOF,GNF,13.757609,INTERNAL_QUOTE
2026-01-29,XOF,USD,0.001666,BCEAO
2026-01-29,GNF,USD,0.000117,BCRG
2026-01-29,XOF,GNF,14.182727,INTERNAL_QUOTE
2026-01-30,XOF,USD,0.001652,BCEAO
2026-01-30,GNF,USD,0.000116,BCRG
2026-01-30,XOF,GNF,14.646010,INTERNAL_QUOTE
2026-01-31,XOF,USD,0.001626,BCEAO
2026-01-31,GNF,USD,0.000116,BCRG
2026-01-31,XOF,GNF,14.235767,INTERNAL_QUOTE
2026-02-01,XOF,USD,0.001683,BCEAO
2026-02-01,GNF,USD,0.000119,BCRG
2026-02-01,XOF,GNF,14.282338,INTERNAL_QUOTE
2026-02-02,XOF,USD,0.001691,BCEAO
2026-02-02,GNF,USD,0.000119,BCRG
2026-02-02,XOF,GNF,14.041157,INTERNAL_QUOTE
2026-02-03,XOF,USD,0.001692,BCEAO
2026-02-03,GNF,USD,0.000112,BCRG
2026-02-03,XOF,GNF,14.413833,INTERNAL_QUOTE
2026-02-04,XOF,USD,0.001679,BCEAO
2026-02-04,GNF,USD,0.000116,BCRG
2026-02-04,XOF,GNF,14.177421,INTERNAL_QUOTE
2026-02-05,XOF,USD,0.001697,BCEAO
2026-02-05,GNF,USD,0.000121,BCRG
2026-02-05,XOF,GNF,14.566940,INTERNAL_QUOTE
2026-02-06,XOF,USD,0.001648,BCEAO
2026-02-06,GNF,USD,0.000112,BCRG
2026-02-06,XOF,GNF,13.990966,INTERNAL_QUOTE
2026-02-07,XOF,USD,0.001650,BCEAO
2026-02-07,GNF,USD,0.000112,BCRG
2026-02-07,XOF,GNF,14.472051,INTERNAL_QUOTE
2026-02-08,XOF,USD,0.001641,BCEAO
2026-02-08,GNF,USD,0.000115,BCRG
2026-02-08,XOF,GNF,13.738533,INTERNAL_QUOTE
2026-02-09,XOF,USD,0.001600,BCEAO
2026-02-09,GNF,USD,0.000117,BCRG
2026-02-09,XOF,GNF,14.656678,INTERNAL_QUOTE
2026-02-10,XOF,USD,0.001608,BCEAO
2026-02-10,GNF,USD,0.000119,BCRG
2026-02-10,XOF,GNF,13.972338,INTERNAL_QUOTE
2026-02-11,XOF,USD,0.001662,BCEAO
2026-02-11,GNF,USD,0.000119,BCRG
2026-02-11,XOF,GNF,14.680867,INTERNAL_QUOTE
2026-02-12,XOF,USD,0.001667,BCEAO
2026-02-12,GNF,USD,0.000117,BCRG
2026-02-12,XOF,GNF,13.879261,INTERNAL_QUOTE
2026-02-13,XOF,USD,0.001631,BCEAO
2026-02-13,GNF,USD,0.000117,BCRG
2026-02-13,XOF,GNF,14.494028,INTERNAL_QUOTE
2026-02-14,XOF,USD,0.001695,BCEAO
2026-02-14,GNF,USD,0.000116,BCRG
2026-02-14,XOF,GNF,14.444973,INTERNAL_QUOTE
2026-02-15,XOF,USD,0.001613,BCEAO
2026-02-15,GNF,USD,0.000113,BCRG
2026-02-15,XOF,GNF,14.312435,INTERNAL_QUOTE
2026-02-16,XOF,USD,0.001696,BCEAO
2026-02-16,GNF,USD,0.000120,BCRG
2026-02-16,XOF,GNF,14.229221,INTERNAL_QUOTE
2026-02-17,XOF,USD,0.001608,BCEAO
2026-02-17,GNF,USD,0.000118,BCRG
